

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

137.054  000.023  000.023: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/fish.vim
137.104  000.022  000.022: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/gdresource.vim
137.147  000.016  000.016: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/gdscript.vim
137.195  000.017  000.017: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/gomod.vim
137.245  000.023  000.023: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/graphql.vim
137.297  000.025  000.025: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/hcl.vim
137.342  000.015  000.015: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/julia.vim
137.391  000.021  000.021: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/ledger.vim
137.436  000.015  000.015: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/nix.vim
137.480  000.017  000.017: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/ql.vim
137.534  000.027  000.027: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/query.vim
137.580  000.016  000.016: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/surface.vim
137.645  000.027  000.027: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/teal.vim
137.703  000.017  000.017: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/yang.vim
137.760  000.028  000.028: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/zig.vim
138.249  000.319  000.319: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/nvim-treesitter-textobjects/plugin/nvim-treesitter-textobjects.vim
138.523  000.041  000.041: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/nvim-ts-autotag/plugin/nvim-ts-autotag.vim
138.736  000.037  000.037: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/nvim-ts-context-commentstring/plugin/ts_context_commentstring.vim
139.070  000.019  000.019: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/which-key.nvim/plugin/which-key.vim
139.379  011.961: loading packages
139.496  000.013  000.013: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/opt/vim-matchup/after/plugin/matchit.vim
